height,wind_velocity,wind_direction
10,3.8942194713801284,152.2271567
106.18289947509766,3.948473085307795,153.13322960101598
328.1566925048828,3.4828006027604936,191.8856376516685
555.4063415527344,2.938860682943425,220.1309380129812
787.8541870117188,5.092213023,248.64356941377352
1025.6287841796875,6.287017932596986,264.10584686137696
1518.615723,7.283782281246069,270.4917418
2037.359863,8.736755546514289,287.3053618556241
3158.821044921875,14.280658215260082,288.3167431694056
4423.124023,13.842875668710185,284.4209068197603
5873.489258,11.370989385568906,293.7717294783167
7596.603516,11.185788798850448,303.9954202919537
9719.481445,11.70976825258697,318.54451092092677
10997.65137,16.62162905539083,323.16320226864025
12485.57031,19.700273336404866,339.79417071299827
14309.99414,23.91536932262812,349.3547027
16781.47266,14.286561266018422,356.6995498979776
