Mach,Cd0
0	,0
0.2	,-0.022744186
0.4	,-0.056860465
0.6	,-0.090976744
0.8	,-0.056860465
1	,0.22744186
1.2	,0.557232558
1.4	,0.545860465
1.6	,0.432139535
