Mach,	CN
0	,0
0.1	,0.039013248
0.2	,0.136546368
0.3	,0.152151667
0.4	,0.175559616
0.5	,0.273092736
0.6	,0.390132481
0.7	,0.565692097
0.8	,0.721745089
0.9	,1.131384194
1	,1.443490178
1.1 ,3.316126085
